"Y"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"
1	14.32	19.97	8.46	7.56	67.13	48.99	81.98	8.41	1017.79	53.14	5.52	4.61	7.76	26.55	32.32	22.61	20.69	72.92	64.65	83.82	11.31	1009.22	54.64	4.97	3.9	10.81	21.6166666666667	13.76	81.0733333333333	65.0033333333333	6.76	1014.96	24.3233333333333	17.3466666666667	84.7866666666667	66.29	36.57	1011.32	27.66	20.15	59.395	54.295	0.49	1012.165	29.4	24.106	85.634	75.946	196.73	1010.062
0	11.48	18.18	6.02	8.26	78.93	60.99	90.1	8.35	1017.44	21.61	3.92	4.07	6.26	21.81	27.03	17.53	18.18	79.24	68.26	85.56	8.65	1010.36	66.69	6.18	4.21	11.2	20.2266666666667	11.9866666666667	79.4166666666667	70.4933333333333	1.89	1016.68333333333	25.81	15.9633333333333	71.58	56.5266666666667	1.05	1014.17	27.505	19.455	73.125	64.595	7.59	1009.58	26.782	22.042	87.884	81.478	249.2	1011.28
0	14	21.66	7.02	9.59	74.71	61.11	86.32	7.4	1014.38	-0.36	3.76	3.76	10.48	23.86	30.43	18.11	18.3	70.36	59.96	92.97	8.68	1008.97	53.91	5.65	3.42	11.6	20.7533333333333	13.3566666666667	81.53	68.52	-2.14	1017.14	23.7766666666667	14.73	78.2433333333333	57.7833333333333	2.65	1012.58333333333	25.325	16.87	71.545	52.925	5.18	1013.705	28.77	22.91	86.764	74.152	271.88	1009.182
0	16.04	21.62	11.1	13.34	80.83	70.5	91.19	6.68	1012.95	3.52	5.6	6.14	10.07	22.9	28.53	18.1	17.58	76.43	61.43	87.5	9.14	1009.51	37.32	5.11	3.92	8.52	19.01	10.92	74.9266666666667	59.4233333333333	3.59	1018.63	21.3366666666667	12.4266666666667	75.9166666666667	54.8166666666667	-0.04	1019.25666666667	30.315	19.125	47.74	41.135	0.27	1011.055	28.478	22.542	84.778	74.128	164.73	1010.298
0	9.77	16.25	4.52	6.84	76.7	65.57	87.51	7.58	1020.37	22.77	4.76	3.17	6.77	20.21	26.05	15.62	15.04	77.76	65.74	89.97	7.64	1014.4	31.01	5.78	3.97	12.27	18.0066666666667	11.34	81.65	68.91	4.19	1017.03666666667	24.0833333333333	15.3033333333333	72.5966666666667	55.08	8.4	1015.05666666667	20.785	13.625	66.575	54.56	0.72	1021.6	24.544	19.064	85.962	78.704	158.16	1013.578
1	11.97	21.46	4.47	6.9	68.28	57.96	75.52	6.66	1012.9	-0.07	3.97	2.69	10.26	22.46	29.28	15.71	16.19	67.98	60.49	78.71	7.72	1006.08	9.48	3.24	2.78	12.76	20.4233333333333	11.3366666666667	73.5666666666667	60.4033333333333	3.57	1017	24.9433333333333	15.3566666666667	66.9933333333333	50.1066666666667	2.18	1012.96666666667	23.815	13.83	60.21	43.41	2.35	1015.8	27.344	21.152	84.51	74.76	96.5	1008.262
1	9.46	17.53	3.01	2.76	66.01	56.37	83.62	5.91	1021.33	0	3.77	4.86	13.43	23.46	27.38	19.34	17.89	83.72	72.57	86.78	7.34	1010.34	39.27	6.12	4.74	11.48	22.76	14.2366666666667	75.91	68.3833333333333	0.17	1016.00333333333	23.34	13.7366666666667	72.5066666666667	58.1733333333333	0.95	1014.48333333333	23.47	14.06	49.96	42.96	2.02	1019.88	27.16	21.548	89.518	82.538	148.58	1009.852
0	16.76	25.09	9.49	11.29	72.77	63.54	84.89	7.16	1012.53	2.81	3.1	3.41	13.62	21.8	26.64	17.5	17.39	79.07	66.3	88.5	7.52	1011.65	36.5	6.97	4.48	10.61	20.2866666666667	10.5833333333333	70.8633333333333	58.3266666666667	0.91	1017.07	21.57	12.1266666666667	76.0366666666667	55.81	-0.13	1018.11666666667	31.07	19.32	45.62	39.77	0.47	1010.135	27.222	21.374	84.616	75.45	139.98	1011.096
0	17.59	25.67	10.74	12.07	72.59	65.37	84.05	8.17	1012.44	2.14	3.03	3.41	12.15	22.37	27.42	17.84	17.78	78.07	66.1	86.43	8.02	1011.68	31.52	6.72	4.23	10.73	20.7066666666667	11.49	70.64	57.7733333333333	0.91	1016.61333333333	21.82	12.9833333333333	75.6333333333333	54.7633333333333	0.19	1017.75	31.73	20.1	47.15	41.4	0.37	1009.9	27.976	21.854	83.176	74.684	143.51	1011.136
0	9.6	16.78	4.12	5.39	79.26	68.38	86.02	6.93	1020.06	16.49	4.61	3.28	7.11	19.72	25.99	15.14	15.45	79.61	68.8	90.97	7.44	1013.81	37.88	5.44	3.7	11.97	18.8333333333333	11.7233333333333	81.2566666666667	68.5933333333333	1.35	1016.49666666667	24.32	15.47	75.3566666666667	55.63	6.92	1014.63	20.81	13.75	67.365	55.185	1.42	1021.255	24.226	18.68	88.424	79.258	175.5	1013.4
0	9.92	19.4	1.36	2.47	59.84	48.07	74.52	8.69	1017.52	0.2	2.29	1.88	8.92	23.14	29.55	18.72	19.18	78.51	69.36	87.3	10.46	1007.62	83.15	5.88	4.54	13.44	19.4866666666667	11.39	80.7833333333333	68.4966666666667	1.92	1014.81666666667	24.2833333333333	15.6133333333333	71.2666666666667	59.0966666666667	0.3	1014.59333333333	23.235	16.215	63.72	61.455	10.42	1014.565	29.016	22.932	86.56	79.092	288.55	1007.29
0	11.23	19.82	6.54	5.04	64.21	53.27	74.6	8.35	1017.49	0	3.51	2.57	12.85	24.52	30.21	19.49	20.42	78.05	63.96	88.89	9.05	1005.26	137.74	5.62	4.15	9.81	19.7066666666667	11.17	74.44	60.3933333333333	8.68	1018.27333333333	25.1966666666667	15.9333333333333	53.0966666666667	44.0566666666667	0	1013.59333333333	22.455	15.05	59.77	49.35	-0.15	1014.055	28.948	23.346	86.574	79.656	266.55	1007.822
0	14.94	22.96	8.42	7.91	66.15	57.66	80.71	9.31	1014.23	-1.53	3.62	2.95	9.43	26.26	33.7	19.77	16.73	57.84	43.46	79.1	16.88	1009.62	38.29	4.2	2.93	10.39	21.12	13.6166666666667	85.4566666666667	61.0233333333333	2.41	1017.01	25.45	17.4066666666667	76.11	53.5633333333333	4.05	1012.61666666667	28.51	19.81	67.555	50.62	2.8	1009.66	32.452	25.342	79.328	59.892	118.81	1008.744
0	9.09	16.27	2.82	4.95	77.13	65.08	93.79	7.51	1020.54	27.67	5.31	4.53	5.58	21.35	27.02	16.58	14.06	62.66	54.13	79.69	17.15	1013.6	20.18	2.42	3.08	12.36	19.81	11.6566666666667	84.7033333333333	71.69	4.79	1017.01	26.1766666666667	16.64	67.12	53.13	13.12	1014.92	23.675	16.185	56.47	48.67	0.56	1021.49	26.762	20.456	81.276	67.998	79.38	1013.716
1	12.95	21.48	5.9	8.16	71.05	61.91	78.89	7.09	1012.89	0	4.23	3	10.17	23.44	30.3	16.68	16.87	67.74	60.39	78.38	8.5	1006.15	9.04	3.13	2.71	12.52	20.58	12.4833333333333	73.28	61.61	4.9	1016.91	24.8833333333333	16.3533333333333	67.92	51.9566666666667	4.5	1012.79	24.515	14.76	58.03	44.16	1.13	1015.58	28.204	21.944	84.956	75.722	103.94	1008.272
